Alchemist, Medusa, 0.78%
Alchemist, Earthshaker, 0.75%
Alchemist, Rubick, 0.73%
Alchemist, Invoker, 0.72%
Alchemist, Brewmaster, 0.72%
Alchemist, Lone Druid, 0.64%
Alchemist, Mirana, 0.54%
Alchemist, Outworld Devourer, 0.54%
Alchemist, Venomancer, 0.46%
Alchemist, Batrider, 0.46%
Alchemist, Keeper of the Light, 0.46%
Alchemist, Bane, 0.43%
Alchemist, Jakiro, 0.41%
Alchemist, Windranger, 0.37%
Alchemist, Anti-Mage, 0.34%
Alchemist, Enchantress, 0.33%
Alchemist, Vengeful Spirit, 0.33%
Alchemist, Meepo, 0.32%
Alchemist, Razor, 0.29%
Alchemist, Disruptor, 0.27%
Alchemist, Shadow Shaman, 0.26%
Alchemist, Sven, 0.22%
Alchemist, Witch Doctor, 0.21%
Alchemist, Sand King, 0.16%
Alchemist, Skywrath Mage, 0.14%
Alchemist, Doom, 0.14%
Alchemist, Lion, 0.06%
Alchemist, Chaos Knight, 0.05%
Alchemist, Luna, 0.05%
Alchemist, Lich, -0.02%
Alchemist, Necrophos, -0.04%
Alchemist, Gyrocopter, -0.06%
Alchemist, Pudge, -0.10%
Alchemist, Juggernaut, -0.11%
Alchemist, Queen of Pain, -0.11%
Alchemist, Sniper, -0.13%
Alchemist, Tusk, -0.16%
Alchemist, Tiny, -0.17%
Alchemist, Lina, -0.18%
Alchemist, Nyx Assassin, -0.19%
Alchemist, Storm Spirit, -0.20%
Alchemist, Bounty Hunter, -0.21%
Alchemist, Dazzle, -0.23%
Alchemist, Omniknight, -0.23%
Alchemist, Night Stalker, -0.25%
Alchemist, Clinkz, -0.26%
Alchemist, Death Prophet, -0.26%
Alchemist, Spirit Breaker, -0.31%
Alchemist, Ogre Magi, -0.32%
Alchemist, Drow Ranger, -0.32%
Alchemist, Bristleback, -0.34%
Alchemist, Slardar, -0.34%
Alchemist, Dragon Knight, -0.35%
Alchemist, Leshrac, -0.35%
Alchemist, Axe, -0.37%
Alchemist, Shadow Fiend, -0.43%
Alchemist, Terrorblade, -0.52%
Alchemist, Bloodseeker, -0.62%
Alchemist, Monkey King, -0.75%
Alchemist, Ursa, -0.88%
Alchemist, Huskar, -0.95%
Alchemist, Morphling, -1.04%
Alchemist, Crystal Maiden, -1.04%
Alchemist, Legion Commander, -1.09%
Alchemist, Phantom Assassin, -1.23%
Alchemist, Timbersaw, -1.38%
Alchemist, Troll Warlord, -1.41%
Alchemist, Slark, -1.59%
Alchemist, Lifestealer, -1.63%
Alchemist, Ancient Apparition, -1.72%
Alchemist, Viper, -2.02%
Ancient Apparition, Huskar, 3.56%
Ancient Apparition, Necrophos, 3.51%
Ancient Apparition, Dazzle, 3.37%
Ancient Apparition, Bristleback, 3.02%
Ancient Apparition, Alchemist, 2.53%
Ancient Apparition, Axe, 2.17%
Ancient Apparition, Dragon Knight, 2.00%
Ancient Apparition, Omniknight, 1.90%
Ancient Apparition, Undying, 1.52%
Ancient Apparition, Morphling, 1.47%
Ancient Apparition, Timbersaw, 1.42%
Ancient Apparition, Winter Wyvern, 1.34%
Ancient Apparition, Tidehunter, 1.03%
Ancient Apparition, Witch Doctor, 0.97%
Ancient Apparition, Lifestealer, 0.92%
Ancient Apparition, Slark, 0.91%
Ancient Apparition, Venomancer, 0.83%
Ancient Apparition, Lich, 0.78%
Ancient Apparition, Sand King, 0.77%
Ancient Apparition, Warlock, 0.77%
Ancient Apparition, Legion Commander, 0.76%
Ancient Apparition, Dark Seer, 0.75%
Ancient Apparition, Jakiro, 0.71%
Ancient Apparition, Crystal Maiden, 0.69%
Ancient Apparition, Disruptor, 0.66%
Ancient Apparition, Monkey King, 0.61%
Ancient Apparition, Earthshaker, 0.59%
Ancient Apparition, Death Prophet, 0.53%
Ancient Apparition, Sven, 0.53%
Ancient Apparition, Techies, 0.33%
Ancient Apparition, Bloodseeker, 0.26%
Ancient Apparition, Medusa, 0.26%
Ancient Apparition, Keeper of the Light, 0.19%
Ancient Apparition, Shadow Fiend, 0.17%
